Price,Close,High,Low,Open,Volume
Ticker,SHOPERSTOP.NS,SHOPERSTOP.NS,SHOPERSTOP.NS,SHOPERSTOP.NS,SHOPERSTOP.NS
Date,,,,,
2019-08-14,366.201171875,373.9645080566406,359.7633056640625,373.9645080566406,4111
2019-08-16,358.7218933105469,365.1124267578125,355.124267578125,360.7100524902344,1749
2019-08-19,354.9349060058594,358.7218933105469,350.4378662109375,355.124267578125,5544
2019-08-20,353.8461608886719,362.4615478515625,350.2958679199219,351.8580017089844,48811
2019-08-21,347.55029296875,354.79290771484375,345.6094665527344,351.2899475097656,1908
2019-08-22,342.10650634765625,347.1716003417969,341.7278137207031,345.6094665527344,3107
2019-08-23,348.6390380859375,353.0887451171875,336.09466552734375,337.0414123535156,29928
2019-08-26,370.31951904296875,373.9171447753906,346.13018798828125,349.1597595214844,59626
2019-08-27,383.43194580078125,385.2781066894531,359.8106384277344,359.8106384277344,61340
2019-08-28,378.8875732421875,383.1005859375,364.4970397949219,383.1005859375,23705
2019-08-29,374.4851989746094,381.34912109375,370.0354919433594,378.6035461425781,4011
2019-08-30,379.64495849609375,382.9112548828125,369.7041320800781,369.7041320800781,8792
2019-09-03,385.798828125,387.21893310546875,374.0118408203125,380.5917053222656,20694
2019-09-04,390.76922607421875,397.5857849121094,376.9467468261719,383.4792785644531,40411
2019-09-05,380.44970703125,393.0414123535156,375.0532531738281,386.4142150878906,12989
2019-09-06,379.7869873046875,382.4851989746094,375.5266418457031,378.6982116699219,5079
2019-09-09,375.7633056640625,379.64495849609375,371.3135986328125,374.9585876464844,4672
2019-09-11,374.57989501953125,379.124267578125,369.23077392578125,372.0710144042969,9369
2019-09-12,371.21893310546875,378.65087890625,370.2721862792969,374.8165588378906,3639
2019-09-13,385.798828125,397.68048095703125,369.23077392578125,372.7337341308594,78913
2019-09-16,391.5266418457031,392.8994140625,377.798828125,381.5384521484375,12574
2019-09-17,375.19525146484375,389.7278137207031,372.0710144042969,387.21893310546875,5466
2019-09-18,375.00592041015625,384.8047180175781,369.23077392578125,378.6982116699219,11021
2019-09-19,379.5029602050781,388.0710144042969,362.4615478515625,372.0710144042969,83384
2019-09-20,373.6331481933594,396.6390380859375,369.23077392578125,383.43194580078125,70168
2019-09-23,399.3846130371094,401.3727722167969,378.6982116699219,378.6982116699219,55668
2019-09-24,401.8461608886719,407.1005859375,393.8461608886719,402.98223876953125,29790
2019-09-25,384.2840270996094,406.9585876464844,380.5917053222656,406.9585876464844,62392
2019-09-26,391.90533447265625,401.3727722167969,380.1656799316406,385.1361083984375,9685
2019-09-27,386.5088806152344,392.0473327636719,385.0887451171875,388.1656799316406,4156
2019-09-30,404.9230651855469,407.1005859375,375.19525146484375,386.9349060058594,36978
2019-10-01,406.3905334472656,407.1005859375,389.20709228515625,402.31951904296875,19236
2019-10-03,405.1597595214844,407.00592041015625,392.56805419921875,407.00592041015625,5498
2019-10-04,399.6213073730469,407.1005859375,394.2721862792969,397.5857849121094,18000
2019-10-07,394.6035461425781,404.0710144042969,391.8106384277344,395.69232177734375,4909
2019-10-09,392.2840270996094,395.64495849609375,389.4911193847656,394.8875732421875,5184
2019-10-10,382.9585876464844,395.21893310546875,380.5917053222656,388.44970703125,3439
2019-10-11,383.7633056640625,394.79290771484375,379.64495849609375,380.5917053222656,4441
