Price,Close,High,Low,Open,Volume
Ticker,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS
Date,,,,,
2019-05-28,371.37823486328125,380.2972585157683,367.21601172825393,372.418775525538,45279
2019-05-29,373.7566223144531,378.0674896473676,369.84218021357606,369.84218021357606,34887
2019-05-30,379.851318359375,384.5090430919682,373.8062261546503,373.8062261546503,89556
2019-05-31,388.5721435546875,389.7117905490152,378.810761442749,379.5540134272672,428260
2019-06-03,408.29302978515625,412.95075362990383,388.0765848443934,393.3288859944311,445518
2019-06-04,408.3426208496094,421.1761169819051,405.2209686194023,408.78858412949614,248942
2019-06-06,400.0677795410156,416.22111054347897,396.40105766045616,410.2750946785721,108355
2019-06-07,399.8695373535156,409.0858491655794,393.42802064274025,401.3560412098484,48800
2019-06-10,398.08575439453125,408.2930690229042,395.70732397281404,404.329058644041,50708
2019-06-11,398.9776916503906,400.36508937685846,396.2524342350778,396.401078590949,42502
2019-06-12,397.59027099609375,400.86056760868007,384.5090240597475,400.86056760868007,197022
2019-06-13,389.21630859375,399.07679750955765,386.59015749970644,394.6172853805395,159624
2019-06-14,391.0496520996094,395.85602100514666,388.96854048408795,391.44604711137515,52861
2019-06-17,388.02703857421875,392.4370120441361,380.0494800982985,392.4370120441361,238085
2019-06-18,392.7343444824219,396.40106644423156,387.1847537466037,387.48204244923636,161102
2019-06-19,411.1669616699219,414.2390756961726,392.6352316924711,392.6352316924711,443161
2019-06-20,410.2751159667969,414.28866478666254,398.8785849677192,411.26611866236885,138106
2019-06-21,405.17144775390625,412.504861464678,401.95068907580367,410.27510545676085,34434
2019-06-24,422.21661376953125,427.5184833280168,399.3740176605849,409.2840429127086,331262
2019-06-25,427.9148864746094,444.8610360284843,419.19407618312863,420.9283306354229,425494
2019-06-26,428.5095520019531,435.4465707493025,422.4644296163769,425.9825072697622,356010
2019-06-27,441.392578125,443.6223341070175,430.09515386471145,436.04116981675816,303537
2019-06-28,436.9826354980469,445.0097328583503,430.6401942727685,444.66290612137504,175383
2019-07-01,450.1133728027344,457.79364260781557,437.9735914979285,443.9691448614702,334258
2019-07-02,454.4737854003906,460.51890713596356,449.91516752227017,457.84318809534983,217027
2019-07-03,449.86566162109375,455.861215510499,445.9511890863577,455.8116774755785,122191
2019-07-04,445.0592346191406,451.89714590996846,442.0862270802593,451.89714590996846,132653
2019-07-05,435.69427490234375,449.7169552530523,434.25733931817837,444.96015500278315,95893
2019-07-08,422.76171875,438.0231528692425,410.2750798368018,432.4239941809392,148772
2019-07-09,437.9240417480469,445.95116883568915,419.1940987055478,424.5455066829762,257680
2019-07-10,431.0861511230469,445.7529781904928,427.4194292346851,436.338453051024,706946
2019-07-11,445.3565979003906,448.9242135934422,433.31592139896816,434.554674747736,146829
2019-07-12,449.46923828125,454.8206767674456,443.02772107816344,445.9511909829184,288524
2019-07-15,442.0367126464844,459.6270093939351,439.2619173694388,454.07741883984386,80705
2019-07-16,441.6899108886719,443.9196669404574,435.6943264702918,442.97820228805824,40597
2019-07-17,445.1584167480469,447.9332121598007,441.59080104507643,441.9871960691839,108568
2019-07-18,446.0007019042969,448.32956403089577,441.9871535266468,445.80251953281964,123210
2019-07-19,437.4533996582031,449.2308062873908,431.8877021867504,449.2308062873908,106626
2019-07-22,422.843505859375,437.3043536019205,417.5262764028654,437.3043536019205,72227
2019-07-23,416.8802490234375,421.3526797446447,412.45749984466556,419.4146142998768,76262
2019-07-24,412.6065673828125,418.3213398682548,397.59907183318086,415.43911285476275,89881
2019-07-25,407.0408630371094,416.33358594570126,400.58068555303953,409.47586514411853,86402
2019-07-26,405.2519226074219,408.4820115061935,400.53102344767876,407.0408827883427,49901
2019-07-29,401.5745849609375,407.09060121367264,395.6113438210808,402.767245321154,51258
2019-07-30,398.6922912597656,411.4635699686334,389.39956930184036,403.6119765111989,94669
2019-07-31,395.21380615234375,406.3948834501125,391.5861738063015,406.3948834501125,35289
2019-08-01,418.6195068359375,424.58274750123223,399.53712457475,402.5187449073974,667601
2019-08-02,440.4350280761719,446.2491940198355,407.5875215840166,417.32746958850777,375451
2019-08-05,442.3233947753906,451.2185748479195,425.0797135913974,434.22333171153394,240114
2019-08-06,441.4786376953125,449.97624431264893,439.59025370869256,446.6964737696171,302795
2019-08-07,435.1675109863281,447.2430677494407,433.32883897501364,444.26144729777775,41260
2019-08-08,431.1920166015625,439.1926860062783,427.415279168357,435.3165854892769,246736
2019-08-09,444.31109619140625,451.2185285291066,429.4029950285503,433.2294137264719,105915
2019-08-13,445.85162353515625,451.66578912467065,442.2736731469466,448.73385039516046,128381
2019-08-14,441.2798156738281,448.63447320226976,438.19880188565895,447.24305642617713,414842
2019-08-16,464.4371032714844,473.6801455940871,437.60251710435256,443.6651518971237,632711
2019-08-19,468.81011962890625,472.04020834920334,457.72840637016753,465.53031903762275,1026637
2019-08-20,472.78564453125,476.0157334639739,466.3254666658022,471.9408459750304,470194
2019-08-21,468.2635192871094,486.25263669546604,465.97762224326993,473.9782922273218,320944
2019-08-22,466.971435546875,475.07149790741715,462.1511433618179,471.8414092710173,471274
2019-08-23,471.8910827636719,479.39484520480113,459.31859019787856,468.5616311058736,244769
2019-08-26,471.8910827636719,482.0286036742188,465.1327557103802,477.05923662603095,238760
2019-08-27,469.20770263671875,480.8360048151268,468.31322252001246,474.8727635962673,482526
2019-08-28,472.2886962890625,479.0470239132705,469.1579705197455,473.9285814873735,610145
2019-08-29,466.3751525878906,483.02253416668054,463.64200038838777,475.7175576764322,120446
2019-08-30,466.3751525878906,470.7979019156949,462.9462767871782,468.1144312603015,103550
2019-09-03,448.1375732421875,467.8162875379264,442.37311884085955,465.8285404573839,67999
2019-09-04,464.4371032714844,466.8224240841651,444.4602689448886,449.72778668989474,975967
2019-09-05,459.2689514160156,469.0586114784515,456.3370124523875,464.4370754289,73188
2019-09-06,457.6787414550781,463.145045641838,453.55417254391807,461.15729866483446,626440
2019-09-09,457.03271484375,459.07014329646626,453.7529142403249,457.18178979603954,45317
2019-09-11,452.8087463378906,465.0830894153304,451.417329584916,459.0701368915818,88529
2019-09-12,453.5044860839844,471.59299672058086,452.21246260877615,458.12602232898246,201056
2019-09-13,452.4112243652344,457.13212343840377,449.2804986101168,454.2001845133486,46570
2019-09-16,446.24920654296875,455.1940681440527,444.26145952050564,451.41736093361783,74459
2019-09-17,443.6651306152344,453.20632241643983,433.32885213501703,445.2553343038707,115852
2019-09-18,460.06402587890625,463.98983824053704,443.9135818972543,446.84552078309105,225320
2019-09-19,452.65966796875,462.6480838552937,445.3546921575444,462.6480838552937,97870
2019-09-20,486.79925537109375,488.5882459694335,448.2369735483994,451.5167441494348,467886
2019-09-23,504.8877258300781,506.87547278216505,478.5500787149264,499.6202085392924,345769
